"PassergerId","Survived"
2,0
6,0
7,0
14,0
17,0
19,0
21,0
23,0
27,0
28,0
35,0
38,0
40,0
42,0
44,0
48,0
49,0
56,0
59,0
61,0
63,0
65,0
69,0
70,0
77,0
80,0
82,0
84,0
86,0
90,0
91,0
98,0
101,0
103,0
105,0
107,0
111,0
112,0
119,0
122,0
124,0
126,0
128,0
132,0
133,0
140,0
143,0
145,0
147,0
149,0
153,0
154,0
161,0
164,0
166,0
168,0
170,0
174,0
175,0
182,0
185,0
187,0
189,0
191,0
195,0
196,0
203,0
206,0
208,0
210,0
212,0
216,0
217,0
224,0
227,0
229,0
231,0
233,0
237,0
238,0
245,0
248,0
250,0
252,0
254,0
258,0
259,0
266,0
269,0
271,0
273,0
275,0
279,0
280,0
287,0
290,0
292,0
294,0
296,0
300,0
301,0
308,0
311,0
313,0
315,0
317,0
321,0
322,0
329,0
332,0
334,0
336,0
338,0
342,0
343,0
350,0
353,0
355,0
357,0
359,0
363,0
364,0
371,0
374,0
376,0
378,0
380,0
384,0
385,0
392,0
395,0
397,0
399,0
401,0
405,0
406,0
413,0
416,0
418,0
420,0
422,0
426,0
427,0
434,0
437,0
439,0
441,0
443,0
447,0
448,0
455,0
458,0
460,0
462,0
464,0
468,0
469,0
476,0
479,0
481,0
483,0
485,0
489,0
490,0
497,0
500,0
502,0
504,0
506,0
510,0
511,0
518,0
521,0
523,0
525,0
527,0
531,0
532,0
539,0
542,0
544,0
546,0
548,0
552,0
553,0
560,0
563,0
565,0
567,0
569,0
573,0
574,0
581,0
584,0
586,0
588,0
590,0
594,0
595,0
602,0
605,0
607,0
609,0
611,0
615,0
616,0
623,0
626,0
628,0
630,0
632,0
636,0
637,0
644,0
647,0
649,0
651,0
653,0
657,0
658,0
665,0
668,0
670,0
672,0
674,0
678,0
679,0
686,0
689,0
691,0
693,0
695,0
699,0
700,0
707,0
710,0
712,0
714,0
716,0
720,0
721,0
728,0
731,0
733,0
735,0
737,0
741,0
742,0
749,0
752,0
754,0
756,0
758,0
762,0
763,0
770,0
773,0
775,0
777,0
779,0
783,0
784,0
791,0
794,0
796,0
798,0
800,0
804,0
805,0
812,0
815,0
817,0
819,0
821,0
825,0
826,0
833,0
836,0
838,0
840,0
842,0
846,0
847,0
854,0
857,0
859,0
861,0
863,0
867,0
868,0
875,0
878,0
880,0
882,0
884,0
888,0
889,0
896,0
899,0
901,0
903,0
905,0
909,0
910,0
917,0
920,0
922,0
924,0
926,0
930,0
931,0
938,0
941,0
943,0
945,0
947,0
951,0
952,0
959,0
962,0
964,0
966,0
968,0
972,0
973,0
980,0
983,0
985,0
987,0
989,0
993,0
994,0
1001,0
1004,0
1006,0
1008,0
1010,0
1014,0
1015,0
1022,0
1025,0
1027,0
1029,0
1031,0
1035,0
1036,0
1043,0
1046,0
1048,0
1050,0
1052,0
1056,0
1057,0
1064,0
1067,0
1069,0
1071,0
1073,0
1077,0
1078,0
1085,0
1088,0
1090,0
1092,0
1094,0
1098,0
1099,0
1106,0
1109,0
1111,0
1113,0
1115,0
1119,0
1120,0
1127,0
1130,0
1132,0
1134,0
1136,0
1140,0
1141,0
1148,0
1151,0
1153,0
1155,0
1157,0
1161,0
1162,0
1169,0
1172,0
1174,0
1176,0
1178,0
1182,0
1183,0
1190,0
1193,0
1195,0
1197,0
1199,0
1203,0
1204,0
1211,0
1214,0
1216,0
1218,0
1220,0
1224,0
1225,0
1232,0
1235,0
1237,0
1239,0
1241,0
1245,0
1246,0
1253,0
1256,0
1258,0
1260,0
1262,0
1266,0
1267,0
1274,0
1277,0
1279,0
1281,0
1283,0
1287,0
1288,0
1295,0
1298,0
1300,0
1302,0
1304,0
1308,0
1309,0
